transaction_id,date,store_id,product_sku,category,quantity_sold,sale_price,cost_price,discount_pct,footfall,weather,is_holiday,net_sales,gross_profit
TXN-000000,2022-01-31,Store-009,SKU-4499,Electronics,18,2465.88,143.31,2.3,1803,Cloudy,1,43364.96568,40785.38568
TXN-000001,2023-03-13,Store-005,SKU-4480,FMCG,11,2207.19,409.1,20.2,1990,Hot,0,19374.71382,14874.61382
TXN-000002,2023-02-13,Store-005,SKU-9056,Fresh,48,2717.71,2020.8,22.9,648,Cloudy,0,100577.01168000001,3578.6116800000163
TXN-000003,2023-06-25,Store-019,SKU-1250,FMCG,34,3670.11,1660.88,12.7,1791,Cloudy,0,108936.20502000001,52466.28502
TXN-000004,2023-06-30,Store-007,SKU-1682,FMCG,6,1809.78,1050.14,9.5,1771,Hot,0,9827.1054,3526.2654
TXN-000005,2023-07-22,Store-020,SKU-3269,Apparel,4,4809.04,3677.72,14.5,263,Rainy,0,16446.9168,1736.0367999999999
TXN-000006,2023-02-12,Store-008,SKU-8985,FMCG,22,3919.48,731.08,12.2,1199,Hot,1,75708.67568,59624.91568
TXN-000007,2023-09-18,Store-004,SKU-4205,Electronics,11,682.89,1269.6,23.2,318,Cloudy,0,5769.05472,-8196.545279999998
TXN-000008,2022-06-11,Store-003,SKU-7398,Pharmacy,33,4683.22,1210.28,18.4,1094,Hot,0,126109.74816000002,86170.50816000003
TXN-000009,2023-09-12,Store-019,SKU-7808,Electronics,29,4886.26,3930.1,20.9,1905,Sunny,0,112085.91814000001,-1886.9818599999853
TXN-000010,2022-11-01,Store-009,SKU-3715,Apparel,6,3318.74,2033.31,14.6,1024,Hot,0,17005.223759999997,4805.363759999997
TXN-000011,2023-10-21,Store-003,SKU-1799,FMCG,45,4427.5,2314.75,19.9,476,Rainy,0,159589.23750000002,55425.48750000002
TXN-000012,2023-11-12,Store-020,SKU-9143,Fresh,12,4644.9,3220.51,15.4,655,Hot,0,47155.02479999999,8508.90479999999
